Method,Kendall τ,Precision@K,F(t_final),Infected ratio,T_saturation(95%),T_peak_infect
DC,0.6598,0.0,707.47,0.7175,3,2
KS,0.6584,0.0,708.87,0.7189,4,2
CI,0.6533,0.0,708.13,0.7182,4,2
PR,0.6433,0.0,708.33,0.7184,3,2
SAASP-fixed,0.6338,0.0,708.0,0.7181,4,2
SAASP-adaptive,0.6338,0.0,708.0,0.7181,4,2
CC,0.5829,0.0,706.33,0.7164,4,2
BC,0.5654,0.0,707.07,0.7171,4,2
