Dataset,ξ1 (CLI),ξ2 (CSLI),ξ3 (CASPI),ξ4 (CSI),Sum,Dominant
Email-Eu-core,0.25,0.25,0.25,0.25,1.0,ξ1
Facebook,0.25,0.25,0.25,0.25,1.0,ξ1
